1.0000e-02     1.0000e-02     1.0000e+00
2.0000e-02     1.9814e-02     9.6286e-01
3.0000e-02     2.9260e-02     9.2656e-01
4.0000e-02     3.8348e-02     8.9120e-01
5.0000e-02     4.7087e-02     8.5680e-01
6.0000e-02     5.5487e-02     8.2334e-01
7.0000e-02     6.3557e-02     7.9082e-01
8.0000e-02     7.1307e-02     7.5921e-01
9.0000e-02     7.8744e-02     7.2850e-01
1.0000e-01     8.5880e-02     6.9866e-01
1.1000e-01     9.2721e-02     6.6968e-01
1.2000e-01     9.9276e-02     6.4153e-01
1.3000e-01     1.0555e-01     6.1420e-01
1.4000e-01     1.1156e-01     5.8766e-01
1.5000e-01     1.1731e-01     5.6189e-01
1.6000e-01     1.2280e-01     5.3688e-01
1.7000e-01     1.2805e-01     5.1261e-01
1.8000e-01     1.3306e-01     4.8906e-01
1.9000e-01     1.3783e-01     4.6620e-01
2.0000e-01     1.4238e-01     4.4403e-01
2.1000e-01     1.4672e-01     4.2253e-01
2.2000e-01     1.5084e-01     4.0167e-01
2.3000e-01     1.5475e-01     3.8144e-01
2.4000e-01     1.5847e-01     3.6183e-01
2.5000e-01     1.6199e-01     3.4282e-01
2.6000e-01     1.6533e-01     3.2439e-01
2.7000e-01     1.6848e-01     3.0653e-01
2.8000e-01     1.7146e-01     2.8922e-01
2.9000e-01     1.7427e-01     2.7246e-01
3.0000e-01     1.7691e-01     2.5621e-01
3.1000e-01     1.7939e-01     2.4049e-01
3.2000e-01     1.8172e-01     2.2526e-01
3.3000e-01     1.8390e-01     2.1051e-01
3.4000e-01     1.8593e-01     1.9624e-01
3.5000e-01     1.8782e-01     1.8242e-01
3.6000e-01     1.8958e-01     1.6906e-01
3.7000e-01     1.9121e-01     1.5613e-01
3.8000e-01     1.9271e-01     1.4363e-01
3.9000e-01     1.9408e-01     1.3153e-01
4.0000e-01     1.9534e-01     1.1984e-01
4.1000e-01     1.9648e-01     1.0855e-01
4.2000e-01     1.9751e-01     9.7627e-02
4.3000e-01     1.9843e-01     8.7079e-02
4.4000e-01     1.9925e-01     7.6892e-02
4.5000e-01     1.9997e-01     6.7055e-02
4.6000e-01     2.0060e-01     5.7559e-02
4.7000e-01     2.0112e-01     4.8395e-02
4.8000e-01     2.0156e-01     3.9554e-02
4.9000e-01     2.0192e-01     3.1026e-02
5.0000e-01     2.0219e-01     2.2803e-02
5.1000e-01     2.0237e-01     1.4877e-02
5.2000e-01     2.0248e-01     7.2397e-03
5.3000e-01     2.0252e-01    -1.1727e-04
5.4000e-01     2.0248e-01    -7.2016e-03
5.5000e-01     2.0238e-01    -1.4021e-02
5.6000e-01     2.0220e-01    -2.0583e-02
5.7000e-01     2.0197e-01    -2.6894e-02
5.8000e-01     2.0167e-01    -3.2962e-02
5.9000e-01     2.0131e-01    -3.8793e-02
6.0000e-01     2.0089e-01    -4.4395e-02
6.1000e-01     2.0042e-01    -4.9774e-02
6.2000e-01     1.9990e-01    -5.4936e-02
6.3000e-01     1.9932e-01    -5.9888e-02
6.4000e-01     1.9870e-01    -6.4635e-02
6.5000e-01     1.9803e-01    -6.9183e-02
6.6000e-01     1.9732e-01    -7.3539e-02
6.7000e-01     1.9656e-01    -7.7707e-02
6.8000e-01     1.9576e-01    -8.1694e-02
6.9000e-01     1.9493e-01    -8.5504e-02
7.0000e-01     1.9405e-01    -8.9144e-02
7.1000e-01     1.9314e-01    -9.2617e-02
7.2000e-01     1.9220e-01    -9.5929e-02
7.3000e-01     1.9123e-01    -9.9085e-02
7.4000e-01     1.9022e-01    -1.0209e-01
7.5000e-01     1.8918e-01    -1.0495e-01
7.6000e-01     1.8812e-01    -1.0766e-01
7.7000e-01     1.8703e-01    -1.1024e-01
7.8000e-01     1.8592e-01    -1.1268e-01
7.9000e-01     1.8478e-01    -1.1499e-01
8.0000e-01     1.8362e-01    -1.1718e-01
8.1000e-01     1.8244e-01    -1.1924e-01
8.2000e-01     1.8123e-01    -1.2119e-01
8.3000e-01     1.8001e-01    -1.2302e-01
8.4000e-01     1.7877e-01    -1.2474e-01
8.5000e-01     1.7752e-01    -1.2635e-01
8.6000e-01     1.7625e-01    -1.2786e-01
8.7000e-01     1.7496e-01    -1.2927e-01
8.8000e-01     1.7366e-01    -1.3058e-01
8.9000e-01     1.7235e-01    -1.3179e-01
9.0000e-01     1.7103e-01    -1.3292e-01
9.1000e-01     1.6969e-01    -1.3396e-01
9.2000e-01     1.6835e-01    -1.3491e-01
9.3000e-01     1.6699e-01    -1.3578e-01
9.4000e-01     1.6563e-01    -1.3657e-01
9.5000e-01     1.6426e-01    -1.3728e-01
9.6000e-01     1.6289e-01    -1.3792e-01
9.7000e-01     1.6150e-01    -1.3848e-01
9.8000e-01     1.6012e-01    -1.3898e-01
9.9000e-01     1.5873e-01    -1.3941e-01
1.0000e+00     1.5733e-01    -1.3977e-01
1.0100e+00     1.5593e-01    -1.4008e-01
1.0200e+00     1.5453e-01    -1.4032e-01
1.0300e+00     1.5312e-01    -1.4050e-01
1.0400e+00     1.5172e-01    -1.4063e-01
1.0500e+00     1.5031e-01    -1.4070e-01
1.0600e+00     1.4890e-01    -1.4073e-01
1.0700e+00     1.4750e-01    -1.4070e-01
1.0800e+00     1.4609e-01    -1.4062e-01
1.0900e+00     1.4469e-01    -1.4050e-01
1.1000e+00     1.4328e-01    -1.4033e-01
1.1100e+00     1.4188e-01    -1.4012e-01
1.1200e+00     1.4048e-01    -1.3987e-01
1.1300e+00     1.3908e-01    -1.3958e-01
1.1400e+00     1.3769e-01    -1.3925e-01
